CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
52227,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.792898,0.912848,-77.791854,0.903479,976.91,2847.35,2213.94,3728.95,6173.22,6441.28,665000,94,Vía Municipal,0
25NR09-1,12,1,2,3,0,0,Departamental,-77.547962,0.911699,-77.529641,0.915162,2522,7537.55,5598.65,10130.66,18929.22,19901.04,34,95,Departamental,0
52210,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.547618,0.908338,-77.551681,0.915537,711.24,2073.01,1611.86,2714.87,4494.42,4689.58,665000,96,Vía Municipal,0
25NR07-1,22,1,1,0,0,0,Departamental,-77.481574,0.914464,-77.486255,0.916617,656.23,1961.29,1456.78,2636.02,4925.42,5178.29,29,97,Departamental,0
52573,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.486255,0.916617,-77.488844,0.91635,272.13,793.15,616.71,1038.73,1719.61,1794.27,665000,98,Vía Municipal,0
25NR09,30,9,3,1,0,0,Departamental,-77.551681,0.915537,-77.568561,0.917727,2508.5,7497.21,5568.69,10076.44,18827.91,19794.53,75,99,Departamental,0
25NR07-1,22,1,1,0,0,0,Departamental,-77.488844,0.91635,-77.505781,0.892092,4891.69,14619.9,10859.18,19649.51,36715.26,38600.21,29,100,Departamental,0
25NR02,2103,17193,188,11,1,4,Primer Orden,-77.637638,0.877608,-77.579297,0.919181,10955.67,27683.01,21848.38,37715.22,66867.39,70078.53,62912,101,Primer Orden,887
52323,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.579297,0.919181,-77.566347,0.920181,1352.93,4201.49,3128.65,5221.47,8778.2,9166.64,665000,102,Vía Municipal,0
52323,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.568561,0.917727,-77.566347,0.920181,401.6,1247.14,928.69,1549.91,2605.66,2720.97,665000,103,Vía Municipal,0
52323,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.566347,0.920181,-77.565706,0.924305,412.88,1282.19,954.79,1593.46,2678.88,2797.42,665000,104,Vía Municipal,0
4502A,200,50,100,50,50,25,Departamental,-76.766376,0.895696,-76.690843,0.937012,10916.7,33407.99,24588.28,41652.05,75142.28,78760.62,1250,105,Departamental,0
6957,200,50,100,50,50,25,Departamental,-76.628469,0.835385,-76.690843,0.937012,12126.36,37109.84,27312.85,46267.41,83468.6,87487.88,1250,106,Departamental,0
